,LOAN_ID,TRANSFER_TS
12,133291,2015-03-16
48,149711,2015-03-30
60,152141,2015-01-22
66,162641,2015-03-25
95,182261,2015-03-21
106,193831,2015-04-15
162,528911,2015-03-10
179,1518801,2015-01-01
188,1522221,2015-01-03
191,1536991,2015-01-04
203,1537191,2015-01-02
215,1537391,2015-01-02
227,1537661,2015-01-04
239,1538211,2015-01-04
251,1540111,2015-01-04
262,1541631,2015-01-04
274,1541641,2015-01-04
278,1541761,2015-01-04
290,1542581,2015-01-04
302,1542681,2015-01-04
309,1542821,2015-01-04
316,1546771,2015-01-04
326,1547751,2015-01-04
338,1548231,2015-01-04
346,1548521,2015-01-07
358,1549861,2015-01-14
364,1549891,2015-01-02
369,1550751,2015-01-05
379,1551201,2015-01-05
387,1551311,2015-01-04
399,1551331,2015-01-04
411,1551871,2015-01-05
423,1551961,2015-01-06
430,1553151,2015-01-07
442,1553501,2015-01-03
447,1554311,2015-01-04
453,1555121,2015-01-07
457,1557141,2015-01-04
467,1557211,2015-01-05
473,1557241,2015-01-07
485,1558081,2015-01-07
495,1558481,2015-01-07
505,1558971,2015-01-06
509,1559191,2015-01-07
516,1559261,2015-01-07
528,1559401,2015-01-07
540,1560101,2015-01-07
546,1560601,2015-01-07
558,1561691,2015-01-04
561,1563891,2015-01-02
573,1565761,2015-01-03
578,1568981,2015-01-07
590,1569321,2015-01-09
602,1569871,2015-01-02
614,1570471,2015-01-05
621,1571061,2015-01-04
633,1572791,2015-01-07
638,1572871,2015-01-01
641,1572971,2015-01-07
647,1573151,2015-01-01
659,1573191,2015-01-07
671,1573441,2015-01-07
683,1573751,2015-01-10
695,1574051,2015-01-08
707,1574701,2015-01-07
719,1576841,2015-01-05
726,1578391,2015-01-07
735,1578401,2015-01-04
741,1578721,2015-01-07
752,1578731,2015-01-07
758,1579131,2015-01-01
765,1579171,2015-01-07
777,1579591,2015-01-04
787,1580061,2015-01-03
799,1580591,2015-01-05
802,1580631,2015-01-01
814,1580881,2015-01-05
821,1581351,2015-01-04
828,1581361,2015-01-07
834,1581371,2015-01-07
846,1582411,2015-01-06
853,1582541,2015-01-07
865,1582581,2015-01-06
866,1583011,2015-01-01
878,1583681,2015-01-05
881,1584961,2015-01-08
893,1585151,2015-01-05
905,1585561,2015-01-07
912,1585971,2015-01-02
918,1586211,2015-01-07
922,1586381,2015-01-04
934,1586561,2015-01-08
938,1586721,2015-01-05
944,1586811,2015-01-04
945,1587191,2015-01-08
950,1587941,2015-01-05
953,1588621,2015-01-09
963,1589451,2015-01-07
975,1590171,2015-01-04
976,1590361,2015-01-07
983,1591511,2015-01-04
989,1592201,2015-01-04
995,1592951,2015-01-05
1007,1594211,2015-01-05
1009,1594731,2015-01-16
1015,1594791,2015-01-05
1021,1594971,2015-01-05
1026,1595141,2015-01-09
1033,1595521,2015-01-05
1039,1595641,2015-01-11
1042,1595971,2015-01-05
1049,1595991,2015-01-07
1056,1596281,2015-01-05
1061,1597201,2015-01-08
1073,1598531,2015-01-06
1074,1599181,2015-01-09
1080,1599611,2015-01-04
1081,1600131,2015-01-04
1087,1600291,2015-01-07
1090,1601641,2015-01-06
1102,1602331,2015-01-08
1112,1602611,2015-01-09
1118,1603021,2015-01-12
1125,1603711,2015-01-07
1132,1603911,2015-01-05
1144,1604901,2015-01-05
1156,1605291,2015-01-05
1157,1605381,2015-01-08
1163,1605561,2015-01-12
1175,1606181,2015-01-23
1181,1606291,2015-01-21
1189,1606911,2015-01-05
1195,1607241,2015-01-09
1201,1607591,2015-01-13
1213,1607701,2015-01-05
1219,1607771,2015-01-14
1229,1607951,2015-01-09
1234,1607961,2015-01-05
1242,1607971,2015-01-05
1248,1608011,2015-01-14
1252,1608081,2015-01-04
1262,1608861,2015-01-09
1268,1609691,2015-01-07
1269,1610851,2015-01-08
1275,1611961,2015-01-05
1276,1612081,2015-01-06
1277,1613111,2015-01-05
1285,1613591,2015-01-08
1288,1613631,2015-01-14
1294,1614041,2015-01-07
1295,1614811,2015-01-07
1301,1615261,2015-01-06
1306,1615431,2015-01-20
1318,1615701,2015-01-05
1330,1615871,2015-01-13
1337,1615891,2015-01-21
1349,1616241,2015-01-06
1350,1616741,2015-01-10
1355,1618201,2015-01-06
1367,1621101,2015-01-08
1371,1621581,2015-01-06
1376,1621661,2015-01-07
1388,1622351,2015-01-09
1392,1622451,2015-01-07
1404,1622711,2015-01-06
1405,1622901,2015-01-09
1411,1623181,2015-01-09
1417,1623301,2015-01-06
1429,1623481,2015-01-13
1441,1624171,2015-01-08
1447,1624681,2015-01-08
1454,1624971,2015-01-21
1466,1625901,2015-01-07
1470,1628371,2015-01-08
1471,1628391,2015-01-19
1477,1628561,2015-01-14
1489,1628721,2015-01-12
1492,1628811,2015-01-13
1504,1629111,2015-01-07
1510,1629631,2015-01-09
1522,1629951,2015-01-16
1528,1630111,2015-01-09
1534,1630491,2015-01-09
1538,1630591,2015-01-09
1544,1630811,2015-01-12
1547,1631401,2015-01-21
1553,1631491,2015-01-08
1559,1631921,2015-01-12
1562,1631951,2015-01-21
1574,1631971,2015-01-20
1580,1631991,2015-01-15
1587,1632221,2015-01-12
1592,1633051,2015-01-09
1604,1633181,2015-01-08
1607,1633191,2015-01-09
1608,1633201,2015-01-11
1620,1634121,2015-01-20
1628,1635701,2015-01-22
1640,1636021,2015-01-22
1652,1636071,2015-01-15
1664,1636111,2015-01-08
1676,1636121,2015-01-14
1682,1637181,2015-01-16
1688,1637701,2015-01-10
1700,1637861,2015-01-09
1712,1638261,2015-01-12
1718,1638771,2015-01-14
1724,1639111,2015-01-09
1730,1639571,2015-01-14
1737,1642141,2015-01-09
1749,1642221,2015-01-10
1761,1642311,2015-01-09
1767,1642641,2015-01-14
1773,1642991,2015-01-13
1779,1643271,2015-01-10
1782,1643381,2015-01-16
1785,1643691,2015-01-23
1791,1643861,2015-01-09
1801,1643921,2015-01-22
1813,1644011,2015-01-12
1819,1644191,2015-01-22
1831,1644511,2015-01-09
1843,1644671,2015-01-17
1846,1645521,2015-01-13
1858,1646331,2015-01-16
1862,1646341,2015-01-12
1863,1647421,2015-01-12
1864,1647461,2015-01-12
1871,1648461,2015-01-22
1874,1649491,2015-01-12
1875,1649601,2015-01-16
1881,1649761,2015-01-22
1892,1650981,2015-01-13
1896,1651171,2015-01-16
1908,1651311,2015-01-16
1920,1651961,2015-01-16
1926,1652081,2015-01-12
1932,1652401,2015-01-13
1935,1652521,2015-01-22
1947,1654671,2015-01-14
1952,1655321,2015-01-21
1964,1655561,2015-01-16
1970,1657771,2015-01-16
1976,1658531,2015-01-19
1983,1658681,2015-01-23
1992,1659261,2015-01-22
1998,1660461,2015-01-16
2010,1661301,2015-01-22
2022,1661461,2015-01-13
2028,1661941,2015-01-16
2031,1661961,2015-01-16
2034,1662681,2015-01-13
2040,1662811,2015-01-18
2047,1662901,2015-01-13
2050,1663131,2015-01-14
2051,1663401,2015-01-15
2057,1663471,2015-01-16
2060,1663571,2015-01-15
2067,1664421,2015-01-21
2073,1664431,2015-01-16
2079,1664541,2015-01-13
2085,1664721,2015-01-23
2088,1664781,2015-01-23
2100,1665011,2015-01-15
2112,1665291,2015-01-18
2119,1665591,2015-01-23
2131,1666141,2015-01-26
2137,1667181,2015-01-13
2139,1667721,2015-01-17
2151,1668371,2015-01-15
2160,1668781,2015-01-18
2167,1668791,2015-01-26
2173,1668981,2015-01-21
2177,1669131,2015-01-14
2187,1669231,2015-01-20
2193,1669261,2015-01-23
2195,1669341,2015-01-14
2201,1669781,2015-01-21
2204,1670281,2015-01-20
2206,1671211,2015-01-15
2212,1671491,2015-01-21
2218,1671641,2015-01-21
2221,1671771,2015-01-16
2228,1671971,2015-01-14
2229,1672021,2015-01-27
2241,1672691,2015-01-17
2243,1672921,2015-01-14
2255,1672991,2015-01-16
2262,1673051,2015-01-14
2274,1673081,2015-01-23
2286,1673191,2015-01-16
2298,1673201,2015-01-16
2310,1673451,2015-01-16
2316,1673821,2015-01-15
2322,1673831,2015-01-15
2328,1673981,2015-01-14
2329,1674241,2015-01-21
2335,1674561,2015-01-25
2347,1675471,2015-01-16
2349,1675691,2015-01-14
2361,1675891,2015-01-14
2373,1676381,2015-01-16
2379,1677151,2015-01-16
2384,1677511,2015-01-26
2390,1677551,2015-01-18
2396,1677561,2015-01-14
2408,1677691,2015-01-23
2420,1677831,2015-01-15
2426,1678391,2015-01-14
2438,1678591,2015-01-21
2444,1678701,2015-01-19
2447,1678881,2015-01-14
2459,1679031,2015-01-17
2465,1679111,2015-01-15
2471,1679191,2015-01-17
2474,1679601,2015-01-20
2476,1679951,2015-01-15
2479,1680161,2015-01-21
2485,1680211,2015-01-23
2497,1680861,2015-01-29
2507,1681871,2015-01-25
2510,1681911,2015-01-15
2516,1682391,2015-01-17
2528,1682501,2015-01-15
2529,1682541,2015-01-25
2541,1682861,2015-01-29
2547,1682941,2015-01-21
2553,1683171,2015-01-19
2556,1683851,2015-01-16
2560,1684291,2015-01-25
2572,1684321,2015-01-16
2578,1684751,2015-01-29
2581,1685031,2015-01-20
2587,1685671,2015-01-23
2588,1685891,2015-01-23
2592,1686021,2015-01-23
2598,1686131,2015-01-19
2604,1686461,2015-01-16
2610,1686951,2015-01-24
2622,1687091,2015-01-27
2634,1687171,2015-01-28
2639,1687381,2015-01-27
2651,1687411,2015-01-16
2658,1687451,2015-01-22
2665,1688441,2015-01-21
2671,1688471,2015-01-23
2675,1688711,2015-01-23
2687,1688771,2015-01-23
2691,1689181,2015-01-17
2703,1689241,2015-01-20
2709,1689251,2015-01-21
2710,1689541,2015-01-18
2719,1689971,2015-01-23
2725,1690131,2015-01-23
2726,1690211,2015-01-18
2729,1690831,2015-01-21
2736,1691151,2015-01-19
2737,1691171,2015-01-19
2744,1691211,2015-01-17
2756,1691291,2015-01-23
2762,1691581,2015-01-26
2765,1691591,2015-01-23
2770,1691621,2015-01-20
2776,1691721,2015-01-20
2783,1692011,2015-01-23
2790,1692121,2015-01-23
2797,1692261,2015-01-21
2809,1692821,2015-01-21
2815,1692841,2015-01-27
2822,1692851,2015-01-23
2825,1694011,2015-01-22
2832,1694511,2015-01-20
2833,1694551,2015-01-19
2841,1695251,2015-01-20
2845,1695641,2015-01-23
2848,1696211,2015-01-22
2855,1696351,2015-01-25
2867,1696461,2015-01-27
2871,1696521,2015-01-22
2883,1696561,2015-01-19
2890,1696881,2015-01-23
2894,1697741,2015-01-31
2900,1698461,2015-01-22
2907,1698911,2015-01-20
2914,1699931,2015-01-29
2926,1700651,2015-01-20
2936,1700761,2015-01-23
2943,1701111,2015-01-29
2949,1701341,2015-01-22
2956,1701751,2015-01-27
2963,1702201,2015-01-29
2969,1702311,2015-01-23
2975,1702341,2015-01-23
2982,1703601,2015-01-21
2994,1703841,2015-01-26
3006,1704071,2015-01-19
3011,1704251,2015-01-31
3014,1704341,2015-01-28
3018,1704501,2015-01-29
3025,1704661,2015-01-19
3037,1704721,2015-01-26
3044,1704731,2015-01-23
3051,1705521,2015-01-20
3057,1705581,2015-01-23
3059,1705711,2015-01-26
3071,1705731,2015-01-23
3083,1706051,2015-01-25
3086,1706461,2015-01-23
3092,1706651,2015-01-21
3104,1707281,2015-01-20
3111,1707341,2015-01-23
3117,1707611,2015-01-30
3129,1708411,2015-01-26
3133,1708621,2015-01-20
3145,1708881,2015-01-23
3150,1708931,2015-01-23
3158,1709031,2015-01-22
3170,1709511,2015-01-21
3182,1710381,2015-01-26
3189,1710551,2015-01-30
3197,1710591,2015-01-20
3198,1710621,2015-01-28
3210,1711111,2015-02-04
3222,1711811,2015-01-23
3227,1711821,2015-02-02
3239,1711831,2015-01-23
3245,1711881,2015-01-25
3248,1712181,2015-01-23
3255,1712471,2015-01-21
3260,1714351,2015-01-21
3272,1714551,2015-01-23
3278,1714601,2015-01-26
3284,1714781,2015-01-26
3296,1715011,2015-01-27
3301,1715151,2015-01-22
3307,1715451,2015-01-26
3313,1715541,2015-01-28
3325,1715681,2015-02-04
3331,1715711,2015-01-22
3333,1715771,2015-02-05
3339,1715871,2015-01-28
3342,1715921,2015-01-23
3346,1716081,2015-01-22
3353,1716821,2015-01-23
3359,1717031,2015-01-30
3371,1717111,2015-02-02
3372,1717271,2015-02-01
3384,1717331,2015-01-21
3385,1717391,2015-01-28
3386,1717541,2015-02-05
3392,1717721,2015-01-22
3404,1718111,2015-01-28
3410,1718351,2015-01-31
3422,1718391,2015-01-22
3434,1719731,2015-01-23
3438,1720081,2015-02-02
3442,1720151,2015-01-22
3448,1720231,2015-01-25
3454,1720451,2015-01-25
3461,1721021,2015-02-04
3473,1721061,2015-01-22
3479,1721161,2015-01-30
3485,1721271,2015-01-27
3494,1721531,2015-01-29
3496,1721701,2015-01-23
3499,1721791,2015-01-22
3510,1721981,2015-01-29
3517,1722111,2015-01-28
3529,1722121,2015-01-23
3535,1722231,2015-01-23
3545,1722281,2015-01-23
3552,1723081,2015-01-23
3564,1723241,2015-01-26
3570,1723381,2015-01-28
3582,1723571,2015-02-03
3594,1724261,2015-01-28
3606,1724691,2015-01-23
3610,1724721,2015-01-23
3617,1724901,2015-01-23
3629,1725351,2015-01-26
3636,1725381,2015-02-05
3642,1725441,2015-01-24
3648,1725451,2015-01-27
3655,1726411,2015-02-06
3663,1727151,2015-01-26
3675,1727531,2015-01-27
3681,1727631,2015-02-02
3688,1727741,2015-01-27
3698,1727861,2015-01-30
3704,1727941,2015-01-26
3724,1727971,2015-01-26
3748,1728011,2015-01-26
3769,1728051,2015-01-26
3777,1728161,2015-01-26
3778,1728241,2015-01-27
3785,1728791,2015-02-01
3797,1728821,2015-01-27
3803,1729121,2015-01-26
3815,1730921,2015-02-05
3816,1731291,2015-01-27
3823,1732091,2015-01-30
3829,1732541,2015-01-27
3832,1732621,2015-01-29
3839,1732631,2015-01-30
3844,1732741,2015-01-26
3851,1732801,2015-01-27
3856,1732981,2015-02-01
3868,1733731,2015-01-28
3875,1734401,2015-02-03
3881,1734781,2015-02-06
3887,1734791,2015-01-27
3888,1734951,2015-01-30
3891,1736551,2015-01-29
3897,1736791,2015-01-27
3903,1737121,2015-02-02
3909,1737461,2015-02-03
3916,1737521,2015-02-03
3918,1737721,2015-01-27
3925,1737931,2015-02-03
3937,1738001,2015-02-08
3941,1738091,2015-01-26
3942,1739391,2015-01-27
3948,1739641,2015-01-30
3954,1739971,2015-01-29
3960,1740331,2015-02-04
3966,1740431,2015-01-26
3969,1740551,2015-02-01
3985,1740801,2015-02-09
3991,1741221,2015-02-03
3997,1741551,2015-02-08
4001,1741721,2015-02-07
4007,1741821,2015-01-26
4019,1742021,2015-01-28
4020,1742071,2015-02-08
4026,1742501,2015-01-27
4033,1742581,2015-01-28
4038,1742821,2015-01-29
4044,1743231,2015-02-02
4046,1743421,2015-02-03
4052,1743471,2015-01-30
4058,1743731,2015-01-28
4062,1743831,2015-02-03
4074,1743891,2015-02-05
4080,1744251,2015-01-27
4082,1745741,2015-02-01
4094,1746141,2015-01-29
4101,1746511,2015-01-29
4107,1746591,2015-01-27
4108,1746701,2015-01-30
4115,1747471,2015-02-07
4121,1747761,2015-02-03
4126,1747961,2015-02-02
4138,1748021,2015-02-04
4143,1748161,2015-01-30
4152,1748291,2015-02-02
4157,1748371,2015-02-02
4161,1748411,2015-02-01
4166,1748431,2015-02-02
4172,1748501,2015-01-28
4173,1748701,2015-02-06
4185,1748971,2015-02-03
4190,1749021,2015-02-02
4193,1749231,2015-02-02
4195,1749301,2015-02-11
4201,1749601,2015-02-04
4204,1749731,2015-01-28
4207,1750111,2015-01-28
4219,1750961,2015-02-02
4231,1751301,2015-02-02
4233,1751471,2015-02-02
4245,1751561,2015-02-06
4251,1751601,2015-02-02
4255,1751631,2015-02-10
4261,1751741,2015-02-05
4273,1752011,2015-01-28
4274,1752151,2015-02-03
4280,1752931,2015-01-29
4286,1753531,2015-02-03
4292,1753761,2015-02-10
4304,1753991,2015-01-29
4308,1754191,2015-02-05
4315,1754251,2015-01-30
4322,1754371,2015-01-29
4323,1754391,2015-02-02
4335,1754491,2015-02-02
4341,1754831,2015-02-09
4343,1755011,2015-01-30
4350,1755221,2015-02-02
4362,1755881,2015-01-29
4374,1755961,2015-02-10
4379,1756251,2015-02-04
4385,1756931,2015-02-10
4391,1756991,2015-02-02
4397,1757711,2015-01-30
4402,1758191,2015-02-11
4407,1758361,2015-02-02
4419,1758451,2015-02-02
4423,1758561,2015-02-05
4428,1759061,2015-01-30
4429,1759281,2015-02-10
4434,1759871,2015-02-02
4440,1759981,2015-01-30
4441,1760331,2015-02-04
4447,1760691,2015-02-10
4453,1760711,2015-01-30
4454,1761221,2015-02-02
4456,1762621,2015-01-31
4458,1762741,2015-02-02
4470,1762861,2015-02-02
4475,1762871,2015-02-09
4487,1763271,2015-02-14
4490,1763351,2015-02-06
4492,1763831,2015-02-14
4498,1764351,2015-02-11
4508,1764501,2015-02-14
4514,1767361,2015-02-08
4526,1767511,2015-02-07
4538,1767811,2015-02-02
4545,1767851,2015-02-03
4552,1768021,2015-02-04
4557,1769061,2015-02-03
4565,1769171,2015-02-05
4567,1769541,2015-02-05
4568,1770741,2015-02-03
4570,1770811,2015-02-03
4577,1770911,2015-02-05
4580,1772371,2015-02-03
4586,1772431,2015-02-06
4593,1773041,2015-02-04
4600,1773551,2015-02-05
4603,1773901,2015-02-03
4610,1774091,2015-02-07
4616,1774381,2015-02-06
4622,1774501,2015-02-06
4625,1774551,2015-02-05
4630,1774611,2015-02-04
4636,1776771,2015-02-04
4640,1777311,2015-02-02
4646,1777501,2015-02-12
4670,1777591,2015-02-05
4673,1778211,2015-02-03
4679,1778321,2015-02-03
4686,1778501,2015-02-04
4688,1778511,2015-02-15
4700,1778551,2015-02-04
4706,1778951,2015-02-16
4711,1779031,2015-02-05
4717,1779091,2015-02-14
4723,1779121,2015-02-11
4728,1779141,2015-02-04
4734,1779221,2015-02-03
4740,1779811,2015-02-06
4752,1780181,2015-02-04
4764,1780321,2015-02-05
4770,1780471,2015-02-14
4776,1780641,2015-02-12
4782,1781711,2015-02-04
4785,1783001,2015-02-03
4792,1783121,2015-02-05
4804,1783261,2015-02-05
4816,1783661,2015-02-05
4822,1783701,2015-02-05
4830,1783881,2015-02-04
4837,1784241,2015-02-04
4849,1784451,2015-02-09
4861,1784651,2015-02-15
4866,1784691,2015-02-06
4878,1785021,2015-02-04
4879,1785111,2015-02-06
4886,1785131,2015-02-06
4891,1785311,2015-02-10
4896,1785381,2015-02-04
4897,1785501,2015-02-04
4908,1785651,2015-02-05
4919,1785661,2015-02-05
4926,1785801,2015-02-09
4933,1786141,2015-02-10
4942,1786591,2015-02-06
4954,1787841,2015-02-06
4960,1789161,2015-02-05
4967,1789191,2015-02-06
4969,1789491,2015-02-06
4975,1789931,2015-02-06
4981,1790011,2015-02-05
4982,1790241,2015-02-06
4989,1790481,2015-02-11
4995,1790601,2015-02-17
5001,1791351,2015-02-11
5007,1791561,2015-02-11
5014,1792411,2015-02-08
5020,1793211,2015-02-08
5032,1793861,2015-02-08
5035,1793911,2015-02-17
5041,1793981,2015-02-14
5046,1794261,2015-02-17
5050,1794791,2015-02-08
5051,1795971,2015-02-08
5058,1796821,2015-02-06
5061,1797201,2015-02-08
5064,1797521,2015-02-06
5069,1797671,2015-02-11
5081,1798291,2015-02-09
5088,1798301,2015-02-06
5097,1798341,2015-02-10
5100,1798351,2015-02-09
5112,1800141,2015-02-10
5124,1800151,2015-02-14
5130,1801251,2015-02-09
5137,1801341,2015-02-06
5142,1802131,2015-02-07
5148,1802431,2015-02-13
5151,1803031,2015-02-09
5163,1803311,2015-02-09
5168,1804181,2015-02-11
5180,1804731,2015-02-16
5188,1804841,2015-02-13
5194,1805151,2015-02-11
5201,1805481,2015-02-11
5207,1806101,2015-02-13
5212,1806291,2015-02-13
5224,1807951,2015-02-15
5225,1810161,2015-02-11
5230,1810311,2015-02-11
5242,1810361,2015-02-12
5254,1810731,2015-02-12
5257,1810781,2015-02-09
5260,1810791,2015-02-12
5262,1810991,2015-02-15
5266,1811001,2015-02-11
5271,1811221,2015-02-14
5277,1811691,2015-02-11
5283,1811921,2015-02-09
5289,1812641,2015-02-11
5295,1815681,2015-02-16
5297,1815701,2015-02-17
5309,1815961,2015-02-12
5316,1816111,2015-02-11
5318,1816231,2015-02-13
5319,1816281,2015-02-12
5326,1816391,2015-02-11
5327,1817361,2015-02-13
5329,1817381,2015-02-11
5334,1817531,2015-02-17
5340,1817621,2015-02-13
5346,1818111,2015-02-17
5352,1818441,2015-02-16
5358,1818541,2015-02-13
5370,1818811,2015-02-14
5373,1819011,2015-02-18
5379,1819151,2015-02-13
5386,1819341,2015-02-18
5392,1820961,2015-02-11
5398,1821641,2015-02-09
5410,1822541,2015-02-18
5416,1822731,2015-02-13
5419,1822841,2015-02-13
5422,1822991,2015-02-15
5426,1823051,2015-02-13
5435,1823361,2015-02-11
5441,1823521,2015-02-10
5453,1823661,2015-02-11
5456,1823831,2015-02-14
5461,1823881,2015-02-14
5463,1824531,2015-02-15
5475,1825061,2015-02-11
5478,1825501,2015-02-14
5488,1826311,2015-02-14
5496,1826751,2015-02-13
5502,1826861,2015-02-16
5514,1827871,2015-02-13
5526,1827961,2015-02-15
5528,1828621,2015-02-13
5540,1829661,2015-02-12
5552,1829971,2015-02-15
5559,1830121,2015-02-14
5571,1830131,2015-02-14
5574,1830511,2015-02-14
5581,1830831,2015-02-15
5587,1831331,2015-02-12
5599,1831971,2015-02-12
5606,1832411,2015-02-14
5609,1832911,2015-02-11
5617,1833101,2015-02-18
5623,1833141,2015-02-17
5629,1834071,2015-02-12
5632,1835811,2015-02-15
5641,1835891,2015-02-13
5644,1835941,2015-02-17
5656,1836251,2015-02-14
5659,1836631,2015-02-14
5665,1836661,2015-02-12
5669,1836941,2015-02-13
5675,1837261,2015-02-16
5679,1837491,2015-02-18
5684,1837591,2015-02-17
5695,1837621,2015-02-13
5698,1837751,2015-02-14
5704,1837811,2015-02-13
5710,1838251,2015-02-14
5722,1838291,2015-02-16
5723,1838321,2015-02-16
5732,1838611,2015-02-18
5744,1838981,2015-02-16
5745,1839171,2015-02-12
5751,1839231,2015-02-16
5758,1839401,2015-02-13
5764,1839481,2015-02-16
5767,1839711,2015-02-14
5772,1839821,2015-02-17
5782,1839891,2015-02-14
5794,1840061,2015-02-12
5796,1840131,2015-02-15
5808,1841441,2015-02-17
5814,1841831,2015-02-16
5826,1841841,2015-02-16
5832,1841961,2015-02-16
5836,1842351,2015-02-12
5840,1842371,2015-02-14
5846,1842481,2015-02-13
5852,1842511,2015-02-15
5860,1843471,2015-02-14
5861,1843621,2015-02-15
5863,1844031,2015-02-17
5875,1844911,2015-02-17
5887,1844971,2015-02-16
5892,1845191,2015-02-17
5899,1845901,2015-02-18
5902,1847531,2015-02-16
5908,1847611,2015-02-16
5920,1847681,2015-02-26
5924,1847911,2015-02-17
5936,1848431,2015-02-13
5940,1848451,2015-02-13
5952,1848651,2015-02-17
5958,1849191,2015-02-16
5970,1849781,2015-02-15
5974,1849891,2015-02-19
5986,1850071,2015-02-15
5992,1850651,2015-03-03
5998,1850771,2015-02-16
6010,1850791,2015-02-15
6014,1851291,2015-02-19
6020,1851311,2015-02-15
6032,1851431,2015-02-15
6038,1851551,2015-02-15
6039,1851581,2015-02-16
6051,1851681,2015-02-16
6053,1851961,2015-02-15
6056,1852911,2015-02-17
6062,1853601,2015-02-16
6068,1853871,2015-02-15
6074,1853961,2015-02-25
6080,1854851,2015-02-25
6084,1854861,2015-02-16
6090,1855281,2015-02-16
6092,1855501,2015-02-16
6104,1855881,2015-02-16
6110,1856241,2015-02-17
6116,1856351,2015-02-16
6118,1856451,2015-02-17
6129,1856631,2015-02-17
6135,1856751,2015-02-25
6141,1856791,2015-02-16
6145,1856801,2015-02-17
6157,1856851,2015-02-17
6169,1857711,2015-02-25
6174,1857841,2015-02-16
6180,1857891,2015-02-25
6190,1858051,2015-02-26
6196,1858761,2015-02-28
6202,1858811,2015-02-17
6211,1858831,2015-02-17
6215,1859121,2015-02-17
6221,1859131,2015-02-17
6224,1859891,2015-02-25
6229,1860901,2015-02-25
6238,1861171,2015-02-28
6250,1861281,2015-02-26
6253,1861381,2015-02-26
6265,1862451,2015-02-26
6270,1862501,2015-02-25
6276,1863781,2015-02-25
6282,1864471,2015-02-25
6293,1864761,2015-02-25
6297,1865211,2015-02-25
6300,1865641,2015-02-25
6312,1865721,2015-02-25
6321,1866021,2015-02-27
6332,1866301,2015-02-25
6335,1867281,2015-02-25
6347,1867661,2015-02-27
6353,1867831,2015-02-25
6359,1867861,2015-02-26
6365,1868021,2015-03-02
6371,1868341,2015-03-04
6377,1868701,2015-02-26
6383,1868971,2015-02-25
6395,1869071,2015-02-26
6398,1869101,2015-02-27
6401,1869121,2015-03-03
6406,1869251,2015-02-26
6410,1869301,2015-02-26
6413,1869721,2015-02-26
6416,1869781,2015-02-26
6425,1870301,2015-02-28
6427,1870661,2015-02-27
6433,1870711,2015-02-26
6444,1870791,2015-02-25
6447,1870801,2015-02-26
6453,1870831,2015-02-28
6465,1870841,2015-02-25
6468,1870881,2015-02-26
6471,1871671,2015-02-26
6477,1871981,2015-02-26
6489,1872051,2015-02-25
6495,1872121,2015-02-26
6507,1872681,2015-02-26
6512,1872911,2015-02-26
6518,1872961,2015-02-26
6521,1873081,2015-02-25
6527,1873471,2015-02-26
6533,1873841,2015-02-26
6541,1874121,2015-02-26
6553,1874381,2015-02-25
6565,1874631,2015-02-26
6571,1875381,2015-02-27
6577,1875831,2015-03-01
6583,1876251,2015-02-28
6589,1876801,2015-02-26
6593,1877041,2015-03-06
6600,1877211,2015-03-02
